unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date
65950180,2025-08-25T20:37:26.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:11:56.000
65953082,2025-08-25T20:37:21.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,In Progress,BRONX,Street/Sidewalk,
65946702,2025-08-25T20:36:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:48:26.000
65947924,2025-08-25T20:36:52.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,QUEENS,Street/Sidewalk,2025-08-26T00:21:57.000
65948246,2025-08-25T20:36:13.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-25T22:43:48.000
65949364,2025-08-25T20:36:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Closed,BROOKLYN,Residential Building/House,2025-08-25T21:20:43.000
65947225,2025-08-25T20:36:02.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,In Progress,STATEN ISLAND,Street/Sidewalk,
65950381,2025-08-25T20:35:58.000,NYPD,New York City Police Department,Illegal Fireworks,N/A,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T21:23:56.000
65946880,2025-08-25T20:35:57.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Closed,QUEENS,Residential Building/House,2025-08-25T21:29:26.000
65951293,2025-08-25T20:35:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T21:32:32.000
65949705,2025-08-25T20:35:24.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,BRONX,Street/Sidewalk,
65952418,2025-08-25T20:35:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T22:12:09.000
65945290,2025-08-25T20:35:06.000,DSNY,Department of Sanitation,Dead Animal,Cat,In Progress,BROOKLYN,Sidewalk,
65949246,2025-08-25T20:35:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,Open,BROOKLYN,,
65944757,2025-08-25T20:34:57.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Closed,QUEENS,Street/Sidewalk,2025-08-25T21:13:35.000
65948198,2025-08-25T20:34:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-25T21:01:35.000
65950181,2025-08-25T20:34:51.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,BROOKLYN,Street/Sidewalk,2025-08-25T21:46:36.000
65950493,2025-08-25T20:34:44.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,MANHATTAN,Street/Sidewalk,2025-08-25T22:28:51.000
65949529,2025-08-25T20:34:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,In Progress,BROOKLYN,Street/Sidewalk,
65953351,2025-08-25T20:34:39.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Closed,MANHATTAN,Street,2025-08-25T21:05:12.000
65949097,2025-08-25T20:34:29.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Closed,QUEENS,Street/Sidewalk,2025-08-26T00:21:34.000
65947927,2025-08-25T20:34:22.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Closed,QUEENS,Street/Sidewalk,2025-08-26T00:02:55.000
65948001,2025-08-25T20:34:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Closed,BROOKLYN,Residential Building/House,2025-08-25T22:35:37.000
65948075,2025-08-25T20:34:05.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,QUEENS,Street/Sidewalk,2025-08-25T22:09:27.000
65946594,2025-08-25T20:34:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),Open,MANHATTAN,,
65946521,2025-08-25T20:33:54.000,DOT,Department of Transportation,Highway Condition,Graffiti - Highway,In Progress,QUEENS,Highway,
