unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date,year_month,date,year_month_str,quarter,year,month,day_of_week,hour,workload_flag,utilization_rate
65951503,2025-08-25 22:29:29,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,MANHATTAN,Residential Building/House,2025-08-25 23:08:57,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65949416,2025-08-25 22:29:26,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 23:35:34,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65944381,2025-08-25 22:29:25,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,QUEENS,Street/Sidewalk,2025-08-26 00:36:02,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950817,2025-08-25 22:28:52,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65945896,2025-08-25 22:28:51,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,MANHATTAN,Street/Sidewalk,2025-08-26 00:08:57,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65946961,2025-08-25 22:28:40,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Closed,BROOKLYN,Residential Building/House,2025-08-25 23:02:13,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65950515,2025-08-25 22:28:35,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 22:47:11,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65951627,2025-08-25 22:28:34,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Closed,BRONX,Street/Sidewalk,2025-08-25 23:56:55,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65947072,2025-08-25 22:28:30,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-25 22:51:34,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
65949420,2025-08-25 22:28:02,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Closed,MANHATTAN,Street/Sidewalk,2025-08-25 23:25:08,2025-08,2025-08-25,2025-08,3,2025,8,Monday,22,False,0.5592
