unique_key,created_date,agency,agency_name,complaint_type,descriptor,status,borough,location_type,closed_date,year_month,date,year_month_str,quarter,year,month,day_of_week,hour,workload_flag,utilization_rate
65950531,2025-08-26 02:47:16,DOT,Department of Transportation,Street Condition,Pothole,Open,BROOKLYN,,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,2,False,0.2094
65950814,2025-08-26 01:35:48,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65945058,2025-08-26 01:35:46,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65949804,2025-08-26 01:34:40,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Closed,MANHATTAN,Park/Playground,2025-08-26 02:23:52,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.077
65953136,2025-08-26 01:34:21,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953122,2025-08-26 01:34:15,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BRONX,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65950005,2025-08-26 01:33:57,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Hotel or Motel,In Progress,MANHATTAN,Business,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.0252
65946156,2025-08-26 01:32:38,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65949706,2025-08-26 01:32:38,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953133,2025-08-26 01:32:20,NYPD,New York City Police Department,Noise - Residential,Loud Television,In Progress,QUEENS,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953137,2025-08-26 01:32:08,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65951834,2025-08-26 01:31:03,DOHMH,Department of Health and Mental Hygiene,Unleashed Dog,Unleashed Dog in Public,In Progress,QUEENS,Public/Unfenced Area,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.1148
65949650,2025-08-26 01:30:51,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65945059,2025-08-26 01:30:41,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948612,2025-08-26 01:29:07,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953090,2025-08-26 01:28:57,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65945060,2025-08-26 01:27:55,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948613,2025-08-26 01:27:41,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65949711,2025-08-26 01:26:32,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,In Progress,STATEN ISLAND,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65945052,2025-08-26 01:26:11,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65950835,2025-08-26 01:24:49,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65950822,2025-08-26 01:24:44,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946100,2025-08-26 01:23:51,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,In Progress,BROOKLYN,Other (Explain Below),,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.1148
65953121,2025-08-26 01:23:37,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,STATEN ISLAND,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948615,2025-08-26 01:23:23,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65945053,2025-08-26 01:23:22,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953069,2025-08-26 01:22:37,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,In Progress,BROOKLYN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65951886,2025-08-26 01:22:20,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,In Progress,BRONX,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946078,2025-08-26 01:22:05,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,In Progress,BROOKLYN,3+ Family Apartment Building,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.1148
65947871,2025-08-26 01:21:52,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Closed,QUEENS,Street/Sidewalk,2025-08-26 01:32:43,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953138,2025-08-26 01:21:47,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953126,2025-08-26 01:21:32,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948601,2025-08-26 01:21:25,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946499,2025-08-26 01:21:12,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,In Progress,BRONX,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948599,2025-08-26 01:20:31,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,In Progress,BROOKLYN,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946212,2025-08-26 01:20:24,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948616,2025-08-26 01:19:37,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65947393,2025-08-26 01:17:42,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,MANHATTAN,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946208,2025-08-26 01:17:04,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,In Progress,MANHATTAN,Residential Building/House,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946186,2025-08-26 01:17:03,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,In Progress,MANHATTAN,Park,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.1582
65947061,2025-08-26 01:16:02,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Closed,BROOKLYN,Street/Sidewalk,2025-08-26 01:19:50,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946332,2025-08-26 01:14:09,NYPD,New York City Police Department,Panhandling,,In Progress,MANHATTAN,Subway,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65949356,2025-08-26 01:14:06,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BROOKLYN,Residential Building/House,2025-08-26 01:20:19,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65949818,2025-08-26 01:14:00,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,Closed,MANHATTAN,Store/Commercial,2025-08-26 02:16:36,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.077
65945029,2025-08-26 01:13:53,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,In Progress,BRONX,Club/Bar/Restaurant,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946213,2025-08-26 01:13:32,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65947243,2025-08-26 01:13:26,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,In Progress,QUEENS,Street,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.1582
65953106,2025-08-26 01:12:40,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,In Progress,BRONX,Club/Bar/Restaurant,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948237,2025-08-26 01:12:29,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Closed,BRONX,Residential Building/House,2025-08-26 01:33:03,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65946214,2025-08-26 01:11:58,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65951939,2025-08-26 01:11:09,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948565,2025-08-26 01:10:45,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,In Progress,QUEENS,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65950834,2025-08-26 01:10:21,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,In Progress,BRONX,Street/Sidewalk,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65952570,2025-08-26 01:09:59,NYPD,New York City Police Department,Blocked Driveway,No Access,Closed,BROOKLYN,Street/Sidewalk,2025-08-26 01:23:10,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65944711,2025-08-26 01:09:27,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Closed,BROOKLYN,Residential Building/House,2025-08-26 01:22:37,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65948596,2025-08-26 01:09:10,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,In Progress,MANHATTAN,Park/Playground,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,True,2.6828
65953060,2025-08-26 01:08:25,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Worker Hygiene,In Progress,BROOKLYN,Restaurant/Bar/Deli/Bakery,,2025-08,2025-08-26,2025-08,3,2025,8,Tuesday,1,False,0.1148
